
================================================================================
RESONANT HUNTER v8.4.9 – SINGULARIDAD RECUPERADA
================================================================================

📁 Cargando datos LIGO O4a...
✓ Cargadas 67108864 muestras. GPS inicio: 1389424640.0

[FASE 1] Blanqueo Percudani (ε = 1e-4, k_early = 0.967)...

[FASE 2] Análisis de coherencia (8189 ventanas)
   ✓ Ventana 3750 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1290 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3800 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1290 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3850 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1290 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3900 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1290 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3950 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4000 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4050 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4100 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4150 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4200 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4250 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4300 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1289 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4350 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4400 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4450 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4500 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4550 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4600 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4650 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1288 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4700 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4750 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4800 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4850 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4900 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 4950 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5000 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5050 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1287 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5100 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5150 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5200 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5250 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5300 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5350 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5400 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1286 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5450 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5500 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5550 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5600 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5650 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5700 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5750 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5800 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1285 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5850 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5900 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 5950 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6000 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 6050 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1284 Hz ⚠️ SINGULARIDAD
